Devices;Servers;Tech;ExeTime;DCovered;DServed;DServedEC;DServedCC;SUsed;SUsedEC;SUsedCC;TotalCost;CostNCoverage;CostNService;CostS;Avg.RTime;Temperature;Alpha;Heuristic
300;105;4;0.109478;94.3333;67.0000;97.5124;2.4876;83.8095;83.0000;100.0000;706.366710;107.500000;598.600000;0.266710;122.591471;100.000000;0.950000;Greedy_DescAsc
300;105;4;0.111014;94.3333;67.0000;97.5124;2.4876;83.8095;83.0000;100.0000;706.366710;107.500000;598.600000;0.266710;122.591471;100.000000;0.950000;Greedy_DescAsc
300;105;4;0.111647;94.3333;67.0000;97.5124;2.4876;83.8095;83.0000;100.0000;706.366710;107.500000;598.600000;0.266710;122.591471;100.000000;0.950000;Greedy_DescAsc
300;105;4;0.116848;94.3333;67.3333;97.5248;2.4752;89.5238;89.0000;100.0000;699.071810;107.500000;591.300000;0.271810;122.863037;100.000000;0.950000;Greedy_DescAsc
300;105;4;0.116591;94.3333;67.3333;97.5248;2.4752;88.5714;88.0000;100.0000;699.070960;107.500000;591.300000;0.270960;122.771227;100.000000;0.950000;Greedy_DescAsc
300;105;4;0.116735;94.3333;67.3333;97.5248;2.4752;89.5238;89.0000;100.0000;699.072490;107.500000;591.300000;0.272490;122.771366;100.000000;0.950000;Greedy_DescAsc
300;105;4;0.107924;94.3333;67.3333;97.5248;2.4752;89.5238;89.0000;100.0000;699.071810;107.500000;591.300000;0.271810;122.863071;100.000000;0.950000;Greedy_DescAsc
300;105;4;0.111233;94.3333;67.3333;97.5248;2.4752;89.5238;89.0000;100.0000;699.071810;107.500000;591.300000;0.271810;122.894778;100.000000;0.950000;Greedy_DescAsc
300;105;4;0.113083;94.3333;67.3333;97.5248;2.4752;89.5238;89.0000;100.0000;699.071810;107.500000;591.300000;0.271810;122.926785;100.000000;0.950000;Greedy_DescAsc
300;105;4;0.111610;94.3333;67.3333;97.5248;2.4752;87.6190;87.0000;100.0000;699.070790;107.500000;591.300000;0.270790;122.619744;100.000000;0.950000;Greedy_DescAsc
300;105;4;0.110426;94.3333;67.3333;97.5248;2.4752;86.6667;86.0000;100.0000;699.069260;107.500000;591.300000;0.269260;122.651630;100.000000;0.950000;Greedy_DescAsc
300;105;4;0.110390;94.3333;67.3333;97.5248;2.4752;91.4286;91.0000;100.0000;699.074190;107.500000;591.300000;0.274190;122.922683;100.000000;0.950000;Greedy_DescAsc
300;105;4;0.109797;94.3333;67.3333;97.5248;2.4752;88.5714;88.0000;100.0000;699.071640;107.500000;591.300000;0.271640;122.743312;100.000000;0.950000;Greedy_DescAsc
300;105;4;0.110236;94.3333;67.3333;97.5248;2.4752;90.4762;90.0000;100.0000;699.072660;107.500000;591.300000;0.272660;123.050372;100.000000;0.950000;Greedy_DescAsc
300;105;4;0.109188;94.3333;67.3333;97.5248;2.4752;87.6190;87.0000;100.0000;699.070110;107.500000;591.300000;0.270110;122.647785;100.000000;0.950000;Greedy_DescAsc
300;105;4;0.110818;94.3333;67.3333;97.5248;2.4752;88.5714;88.0000;100.0000;699.070960;107.500000;591.300000;0.270960;122.771537;100.000000;0.950000;Greedy_DescAsc
300;105;4;0.114558;94.3333;67.3333;97.5248;2.4752;88.5714;88.0000;100.0000;699.070960;107.500000;591.300000;0.270960;122.739229;100.000000;0.950000;Greedy_DescAsc
