Devices;Servers;Tech;ExeTime;DCovered;DServed;DServedEC;DServedCC;SUsed;SUsedEC;SUsedCC;TotalCost;CostNCoverage;CostNService;CostS;Avg.RTime;Temperature;Alpha;Heuristic
400;105;4;0.134153;92.2500;53.7500;97.6744;2.3256;91.4286;91.0000;100.0000;1329.173120;208.100000;1120.800000;0.273120;124.646431;100.000000;0.950000;Greedy_DescAsc
400;105;4;0.134473;92.2500;53.5000;97.6636;2.3364;90.4762;90.0000;100.0000;1332.671740;208.100000;1124.300000;0.271740;124.923034;100.000000;0.950000;Greedy_DescAsc
400;105;4;0.133936;92.2500;53.7500;97.6744;2.3256;91.4286;91.0000;100.0000;1329.173360;208.100000;1120.800000;0.273360;124.593229;100.000000;0.950000;Greedy_DescAsc
400;105;4;0.134294;92.2500;53.2500;97.6526;2.3474;89.5238;89.0000;100.0000;1339.971130;208.100000;1131.600000;0.271130;124.970609;100.000000;0.950000;Greedy_DescAsc
400;105;4;0.138501;92.2500;53.7500;97.6744;2.3256;89.5238;89.0000;100.0000;1329.171660;208.100000;1120.800000;0.271660;124.450758;100.000000;0.950000;Greedy_DescAsc
400;105;4;0.137558;92.2500;53.2500;97.6526;2.3474;92.3810;92.0000;100.0000;1336.174330;208.100000;1127.800000;0.274330;125.114161;100.000000;0.950000;Greedy_DescAsc
400;105;4;0.132753;92.2500;53.5000;97.6636;2.3364;91.4286;91.0000;100.0000;1332.673360;208.100000;1124.300000;0.273360;124.895984;100.000000;0.950000;Greedy_DescAsc
400;105;4;0.133763;92.2500;53.5000;97.6636;2.3364;91.4286;91.0000;100.0000;1332.673360;208.100000;1124.300000;0.273360;124.812352;100.000000;0.950000;Greedy_DescAsc
400;105;4;0.134226;92.2500;53.5000;97.6636;2.3364;91.4286;91.0000;100.0000;1332.673120;208.100000;1124.300000;0.273120;124.895894;100.000000;0.950000;Greedy_DescAsc
400;105;4;0.133883;92.2500;53.5000;97.6636;2.3364;90.4762;90.0000;100.0000;1332.672510;208.100000;1124.300000;0.272510;124.752632;100.000000;0.950000;Greedy_DescAsc
400;105;4;0.132486;92.2500;53.5000;97.6636;2.3364;90.4762;90.0000;100.0000;1328.872510;208.100000;1120.500000;0.272510;124.808876;100.000000;0.950000;Greedy_DescAsc
400;105;4;0.133597;92.2500;53.7500;97.6744;2.3256;91.4286;91.0000;100.0000;1325.373360;208.100000;1117.000000;0.273360;124.649564;100.000000;0.950000;Greedy_DescAsc
400;105;4;0.135846;92.2500;54.0000;97.6852;2.3148;91.4286;91.0000;100.0000;1325.673120;208.100000;1117.300000;0.273120;124.399351;100.000000;0.950000;Greedy_DescAsc
400;105;4;0.132176;92.2500;53.5000;97.6636;2.3364;90.4762;90.0000;100.0000;1332.672510;208.100000;1124.300000;0.272510;124.722328;100.000000;0.950000;Greedy_DescAsc
