Devices;Servers;Tech;ExeTime;DCovered;DServed;DServedEC;DServedCC;SUsed;SUsedEC;SUsedCC;TotalCost;CostNCoverage;CostNService;CostS;Avg.RTime;Temperature;Alpha;Heuristic
400;105;4;0.173493;92.2500;73.5000;68.0272;31.9728;86.6667;86.0000;100.0000;782.469110;208.100000;574.100000;0.269110;156.263072;100.000000;0.950000;Random
400;105;4;0.183253;92.2500;73.0000;68.1507;31.8493;86.6667;86.0000;100.0000;799.468340;208.100000;591.100000;0.268340;156.732132;100.000000;0.950000;Random
400;105;4;0.177194;92.2500;73.5000;67.3469;32.6531;88.5714;88.0000;100.0000;777.870450;208.100000;569.500000;0.270450;157.716239;100.000000;0.950000;Random
400;105;4;0.173956;92.2500;74.0000;68.5811;31.4189;89.5238;89.0000;100.0000;765.270890;208.100000;556.900000;0.270890;155.965875;100.000000;0.950000;Random
400;105;4;0.181159;92.2500;73.5000;67.3469;32.6531;86.6667;86.0000;100.0000;779.068750;208.100000;570.700000;0.268750;157.957804;100.000000;0.950000;Random
400;105;4;0.170839;92.2500;73.5000;67.3469;32.6531;87.6190;87.0000;100.0000;781.669720;208.100000;573.300000;0.269720;157.591521;100.000000;0.950000;Random
400;105;4;0.174698;92.2500;74.0000;68.9189;31.0811;88.5714;88.0000;100.0000;766.470930;208.100000;558.100000;0.270930;155.566162;100.000000;0.950000;Random
400;105;4;0.175306;92.2500;73.7500;68.8136;31.1864;86.6667;86.0000;100.0000;769.769110;208.100000;561.400000;0.269110;155.196290;100.000000;0.950000;Random
400;105;4;0.180625;92.2500;73.7500;67.7966;32.2034;88.5714;88.0000;100.0000;774.370810;208.100000;566.000000;0.270810;156.962522;100.000000;0.950000;Random
400;105;4;0.172320;92.2500;73.5000;67.0068;32.9932;87.6190;87.0000;100.0000;779.669960;208.100000;571.300000;0.269960;157.462995;100.000000;0.950000;Random
400;105;4;0.177567;92.2500;73.2500;67.5768;32.4232;85.7143;85.0000;100.0000;784.367900;208.100000;576.000000;0.267900;157.302249;100.000000;0.950000;Random
400;105;4;0.174629;92.2500;73.7500;68.1356;31.8644;87.6190;87.0000;100.0000;774.369720;208.100000;566.000000;0.269720;156.790675;100.000000;0.950000;Random
400;105;4;0.174410;92.2500;74.0000;68.2432;31.7568;86.6667;86.0000;100.0000;767.668750;208.100000;559.300000;0.268750;155.706881;100.000000;0.950000;Random
400;105;4;0.179564;92.2500;74.0000;66.8919;33.1081;87.6190;87.0000;100.0000;766.469600;208.100000;558.100000;0.269600;158.145742;100.000000;0.950000;Random
400;105;4;0.174952;92.2500;73.7500;67.4576;32.5424;86.6667;86.0000;100.0000;773.168750;208.100000;564.800000;0.268750;156.712052;100.000000;0.950000;Random
400;105;4;0.174438;92.2500;72.7500;65.9794;34.0206;83.8095;83.0000;100.0000;806.566200;208.100000;598.200000;0.266200;159.186031;100.000000;0.950000;Random
400;105;4;0.172584;92.2500;74.0000;68.2432;31.7568;87.6190;87.0000;100.0000;765.469960;208.100000;557.100000;0.269960;155.446174;100.000000;0.950000;Random
400;105;4;0.173296;92.2500;74.5000;68.1208;31.8792;89.5238;89.0000;100.0000;747.871660;208.100000;539.500000;0.271660;157.658375;100.000000;0.950000;Random
400;105;4;0.173088;92.2500;73.7500;67.7966;32.2034;87.6190;87.0000;100.0000;770.569720;208.100000;562.200000;0.269720;157.864991;100.000000;0.950000;Random
400;105;4;0.173950;92.2500;74.2500;68.3502;31.6498;86.6667;86.0000;100.0000;757.968750;208.100000;549.600000;0.268750;157.110818;100.000000;0.950000;Random
400;105;4;0.172960;92.2500;74.0000;68.5811;31.4189;87.6190;87.0000;100.0000;764.469600;208.100000;556.100000;0.269600;155.701880;100.000000;0.950000;Random
400;105;4;0.174000;92.2500;73.0000;67.1233;32.8767;85.7143;85.0000;100.0000;795.667900;208.100000;587.300000;0.267900;158.403345;100.000000;0.950000;Random
400;105;4;0.170042;92.2500;73.7500;67.7966;32.2034;87.6190;87.0000;100.0000;772.169600;208.100000;563.800000;0.269600;158.169995;100.000000;0.950000;Random
400;105;4;0.173584;92.2500;74.0000;68.2432;31.7568;85.7143;85.0000;100.0000;764.668260;208.100000;556.300000;0.268260;155.996318;100.000000;0.950000;Random
400;105;4;0.171489;92.2500;74.0000;69.2568;30.7432;85.7143;85.0000;100.0000;766.468020;208.100000;558.100000;0.268020;154.932010;100.000000;0.950000;Random
400;105;4;0.166986;92.2500;73.7500;68.8136;31.1864;90.4762;90.0000;100.0000;775.172630;208.100000;566.800000;0.272630;157.197032;100.000000;0.950000;Random
400;105;4;0.184883;92.2500;74.0000;68.5811;31.4189;86.6667;86.0000;100.0000;762.669110;208.100000;554.300000;0.269110;155.308363;100.000000;0.950000;Random
400;105;4;0.174674;92.2500;74.0000;68.2432;31.7568;84.7619;84.0000;100.0000;766.667410;208.100000;558.300000;0.267410;156.383149;100.000000;0.950000;Random
