Devices;Servers;Tech;ExeTime;DCovered;DServed;DServedEC;DServedCC;SUsed;SUsedEC;SUsedCC;TotalCost;CostNCoverage;CostNService;CostS;Avg.RTime;Temperature;Alpha;Heuristic
500;105;4;0.208793;92.2000;62.6000;70.2875;29.7125;90.4762;90.0000;100.0000;1381.573190;256.300000;1125.000000;0.273190;149.702400;100.000000;0.950000;Random
500;105;4;0.209563;92.2000;62.8000;69.4268;30.5732;93.3333;93.0000;100.0000;1369.876540;256.300000;1113.300000;0.276540;151.758244;100.000000;0.950000;Random
500;105;4;0.210406;92.2000;62.6000;69.0096;30.9904;92.3810;92.0000;100.0000;1371.774890;256.300000;1115.200000;0.274890;155.802175;100.000000;0.950000;Random
500;105;4;0.204209;92.2000;62.0000;68.7097;31.2903;93.3333;93.0000;100.0000;1397.276540;256.300000;1140.700000;0.276540;153.098771;100.000000;0.950000;Random
500;105;4;0.213555;92.2000;62.0000;69.0323;30.9677;89.5238;89.0000;100.0000;1397.073020;256.300000;1140.500000;0.273020;151.319948;100.000000;0.950000;Random
500;105;4;0.211438;92.2000;62.8000;68.7898;31.2102;91.4286;91.0000;100.0000;1372.474720;256.300000;1115.900000;0.274720;153.100496;100.000000;0.950000;Random
500;105;4;0.208173;92.2000;62.6000;69.0096;30.9904;91.4286;91.0000;100.0000;1370.374040;256.300000;1113.800000;0.274040;153.677752;100.000000;0.950000;Random
500;105;4;0.207809;92.2000;62.8000;68.7898;31.2102;92.3810;92.0000;100.0000;1368.675690;256.300000;1112.100000;0.275690;153.877244;100.000000;0.950000;Random
500;105;4;0.207491;92.2000;62.4000;68.5897;31.4103;90.4762;90.0000;100.0000;1384.473630;256.300000;1127.900000;0.273630;152.902859;100.000000;0.950000;Random
500;105;4;0.214418;92.2000;62.8000;68.7898;31.2102;88.5714;88.0000;100.0000;1370.071490;256.300000;1113.500000;0.271490;152.709036;100.000000;0.950000;Random
500;105;4;0.208444;92.2000;62.4000;68.5897;31.4103;90.4762;90.0000;100.0000;1386.673870;256.300000;1130.100000;0.273870;153.149780;100.000000;0.950000;Random
500;105;4;0.210565;92.2000;62.0000;69.3548;30.6452;91.4286;91.0000;100.0000;1393.674040;256.300000;1137.100000;0.274040;152.683557;100.000000;0.950000;Random
500;105;4;0.211293;92.2000;62.6000;69.9681;30.0319;90.4762;90.0000;100.0000;1376.973190;256.300000;1120.400000;0.273190;150.236648;100.000000;0.950000;Random
500;105;4;0.201171;92.2000;62.2000;67.8457;32.1543;90.4762;90.0000;100.0000;1391.373870;256.300000;1134.800000;0.273870;153.967362;100.000000;0.950000;Random
500;105;4;0.201953;92.2000;62.4000;68.9103;31.0897;89.5238;89.0000;100.0000;1380.073020;256.300000;1123.500000;0.273020;153.294195;100.000000;0.950000;Random
500;105;4;0.208969;92.2000;62.6000;69.3291;30.6709;90.4762;90.0000;100.0000;1382.573990;256.300000;1126.000000;0.273990;150.112479;100.000000;0.950000;Random
500;105;4;0.203402;92.2000;62.6000;68.6901;31.3099;92.3810;92.0000;100.0000;1376.174890;256.300000;1119.600000;0.274890;153.556003;100.000000;0.950000;Random
500;105;4;0.206885;92.2000;62.6000;69.0096;30.9904;91.4286;91.0000;100.0000;1375.774040;256.300000;1119.200000;0.274040;153.205563;100.000000;0.950000;Random
500;105;4;0.216157;92.2000;62.2000;68.1672;31.8328;93.3333;93.0000;100.0000;1393.776180;256.300000;1137.200000;0.276180;152.764902;100.000000;0.950000;Random
500;105;4;0.209274;92.2000;62.2000;68.1672;31.8328;91.4286;91.0000;100.0000;1391.974720;256.300000;1135.400000;0.274720;153.445392;100.000000;0.950000;Random
500;105;4;0.206507;92.2000;63.2000;69.6203;30.3797;94.2857;94.0000;100.0000;1347.877390;256.300000;1091.300000;0.277390;153.354368;100.000000;0.950000;Random
500;105;4;0.210618;92.2000;62.4000;70.5128;29.4872;92.3810;92.0000;100.0000;1378.675690;256.300000;1122.100000;0.275690;152.105003;100.000000;0.950000;Random
500;105;4;0.206286;92.2000;62.8000;68.7898;31.2102;93.3333;93.0000;100.0000;1368.276420;256.300000;1111.700000;0.276420;152.930942;100.000000;0.950000;Random
