Devices;Servers;Tech;ExeTime;DCovered;DServed;DServedEC;DServedCC;SUsed;SUsedEC;SUsedCC;TotalCost;CostNCoverage;CostNService;CostS;Avg.RTime;Temperature;Alpha;Heuristic
300;105;4;0.154714;94.3333;90.6667;65.8088;34.1912;83.8095;83.0000;100.0000;195.865310;107.500000;88.100000;0.265310;161.676059;100.000000;0.950000;Random
300;105;4;0.157441;94.3333;91.3333;66.7883;33.2117;85.7143;85.0000;100.0000;185.267840;107.500000;77.500000;0.267840;161.137726;100.000000;0.950000;Random
300;105;4;0.162417;94.3333;90.6667;65.4412;34.5588;87.6190;87.0000;100.0000;197.469390;107.500000;89.700000;0.269390;163.403123;100.000000;0.950000;Random
300;105;4;0.155306;94.3333;91.0000;65.2015;34.7985;83.8095;83.0000;100.0000;195.366710;107.500000;87.600000;0.266710;162.685491;100.000000;0.950000;Random
300;105;4;0.165144;94.3333;90.3333;66.4207;33.5793;83.8095;83.0000;100.0000;205.166350;107.500000;97.400000;0.266350;161.227234;100.000000;0.950000;Random
300;105;4;0.164660;94.3333;90.0000;65.9259;34.0741;81.9048;81.0000;100.0000;212.664890;107.500000;104.900000;0.264890;161.495120;100.000000;0.950000;Random
300;105;4;0.159322;94.3333;91.0000;66.3004;33.6996;83.8095;83.0000;100.0000;187.766910;107.500000;80.000000;0.266910;161.361602;100.000000;0.950000;Random
300;105;4;0.165690;94.3333;90.3333;64.9446;35.0554;82.8571;82.0000;100.0000;205.565140;107.500000;97.800000;0.265140;162.920752;100.000000;0.950000;Random
300;105;4;0.155375;94.3333;90.6667;66.1765;33.8235;83.8095;83.0000;100.0000;199.465820;107.500000;91.700000;0.265820;162.093069;100.000000;0.950000;Random
300;105;4;0.148992;94.3333;90.3333;65.6827;34.3173;84.7619;84.0000;100.0000;202.166550;107.500000;94.400000;0.266550;162.671763;100.000000;0.950000;Random
300;105;4;0.155192;94.3333;90.6667;65.4412;34.5588;81.9048;81.0000;100.0000;199.864000;107.500000;92.100000;0.264000;162.508566;100.000000;0.950000;Random
300;105;4;0.158914;94.3333;91.3333;66.0584;33.9416;84.7619;84.0000;100.0000;182.667880;107.500000;74.900000;0.267880;161.878551;100.000000;0.950000;Random
300;105;4;0.160818;94.3333;90.3333;66.0517;33.9483;82.8571;82.0000;100.0000;205.564780;107.500000;97.800000;0.264780;161.785272;100.000000;0.950000;Random
300;105;4;0.154538;94.3333;90.6667;65.0735;34.9265;84.7619;84.0000;100.0000;199.666520;107.500000;91.900000;0.266520;163.428401;100.000000;0.950000;Random
300;105;4;0.153146;94.3333;90.6667;65.8088;34.1912;82.8571;82.0000;100.0000;197.465700;107.500000;89.700000;0.265700;162.120142;100.000000;0.950000;Random
300;105;4;0.144946;94.3333;90.3333;65.3137;34.6863;83.8095;83.0000;100.0000;204.366620;107.500000;96.600000;0.266620;163.562168;100.000000;0.950000;Random
300;105;4;0.157425;94.3333;91.3333;66.4234;33.5766;82.8571;82.0000;100.0000;182.664850;107.500000;74.900000;0.264850;161.518380;100.000000;0.950000;Random
300;105;4;0.157899;94.3333;91.6667;67.2727;32.7273;84.7619;84.0000;100.0000;175.567080;107.500000;67.800000;0.267080;160.008675;100.000000;0.950000;Random
300;105;4;0.149815;94.3333;90.6667;66.1765;33.8235;86.6667;86.0000;100.0000;197.668900;107.500000;89.900000;0.268900;161.685530;100.000000;0.950000;Random
300;105;4;0.153092;94.3333;90.6667;66.5441;33.4559;82.8571;82.0000;100.0000;196.665140;107.500000;88.900000;0.265140;161.539884;100.000000;0.950000;Random
300;105;4;0.157705;94.3333;90.3333;65.3137;34.6863;80.9524;80.0000;100.0000;207.162550;107.500000;99.400000;0.262550;163.149812;100.000000;0.950000;Random
300;105;4;0.154660;94.3333;89.0000;65.9176;34.0824;81.9048;81.0000;100.0000;237.763640;107.500000;130.000000;0.263640;161.859459;100.000000;0.950000;Random
300;105;4;0.158766;94.3333;90.3333;66.4207;33.5793;82.8571;82.0000;100.0000;204.964410;107.500000;97.200000;0.264410;161.452688;100.000000;0.950000;Random
300;105;4;0.157283;94.3333;90.3333;65.3137;34.6863;81.9048;81.0000;100.0000;207.164410;107.500000;99.400000;0.264410;162.755921;100.000000;0.950000;Random
300;105;4;0.160082;94.3333;91.6667;66.5455;33.4545;82.8571;82.0000;100.0000;174.965380;107.500000;67.200000;0.265380;161.356931;100.000000;0.950000;Random
