Devices;Servers;Tech;ExeTime;DCovered;DServed;DServedEC;DServedCC;SUsed;SUsedEC;SUsedCC;TotalCost;CostNCoverage;CostNService;CostS;Avg.RTime
400;105;4;0.000026;92.2500;48.7500;66.6667;33.3333;74.2857;73.0000;100.0000;1448.552100;208.100000;1240.200000;0.252100;157.908491
400;105;4;0.000024;92.2500;46.5000;68.8172;31.1828;69.5238;68.0000;100.0000;1508.447720;208.100000;1300.100000;0.247720;156.807242
400;105;4;0.000025;92.2500;50.0000;69.5000;30.5000;73.3333;72.0000;100.0000;1419.052510;208.100000;1210.700000;0.252510;151.749668
400;105;4;0.000026;92.2500;50.7500;69.9507;30.0493;79.0476;78.0000;100.0000;1421.158280;208.100000;1212.800000;0.258280;150.445130
400;105;4;0.000025;92.2500;48.7500;65.1282;34.8718;74.2857;73.0000;100.0000;1432.952590;208.100000;1224.600000;0.252590;161.017094
400;105;4;0.000025;92.2500;47.0000;61.7021;38.2979;69.5238;68.0000;100.0000;1499.847310;208.100000;1291.500000;0.247310;164.657323
400;105;4;0.000025;92.2500;50.5000;64.8515;35.1485;75.2381;74.0000;100.0000;1374.454690;208.100000;1166.100000;0.254690;162.319011
400;105;4;0.000026;92.2500;49.7500;67.3367;32.6633;72.3810;71.0000;100.0000;1417.151710;208.100000;1208.800000;0.251710;156.550976
400;105;4;0.000025;92.2500;48.7500;69.7436;30.2564;74.2857;73.0000;100.0000;1440.953480;208.100000;1232.600000;0.253480;153.098142
400;105;4;0.000026;92.2500;50.7500;70.9360;29.0640;77.1429;76.0000;100.0000;1419.756800;208.100000;1211.400000;0.256800;149.414964
400;105;4;0.000026;92.2500;51.0000;68.1373;31.8627;78.0952;77.0000;100.0000;1375.657220;208.100000;1167.300000;0.257220;158.738753
400;105;4;0.000026;92.2500;49.7500;72.3618;27.6382;72.3810;71.0000;100.0000;1437.351080;208.100000;1229.000000;0.251080;148.920340
400;105;4;0.000027;92.2500;55.2500;66.5158;33.4842;80.9524;80.0000;100.0000;1294.162690;208.100000;1085.800000;0.262690;156.108164
400;105;4;0.000025;92.2500;49.7500;70.3518;29.6482;78.0952;77.0000;100.0000;1405.158110;208.100000;1196.800000;0.258110;154.335588
