Devices;Servers;Tech;ExeTime;DCovered;DServed;DServedEC;DServedCC;SUsed;SUsedEC;SUsedCC;TotalCost;CostNCoverage;CostNService;CostS;Avg.RTime
300;105;4;0.000020;94.3333;57.6667;71.6763;28.3237;70.4762;69.0000;100.0000;884.750020;107.500000;777.000000;0.250020;152.146555
300;105;4;0.000020;94.3333;55.0000;70.3030;29.6970;69.5238;68.0000;100.0000;945.747450;107.500000;838.000000;0.247450;152.686765
300;105;4;0.000020;94.3333;57.3333;70.9302;29.0698;73.3333;72.0000;100.0000;893.451980;107.500000;785.700000;0.251980;152.887892
300;105;4;0.000020;94.3333;56.6667;68.2353;31.7647;65.7143;64.0000;100.0000;923.441650;107.500000;815.700000;0.241650;156.607712
300;105;4;0.000020;94.3333;57.0000;73.6842;26.3158;76.1905;75.0000;100.0000;909.356460;107.500000;801.600000;0.256460;147.649238
300;105;4;0.000019;94.3333;54.6667;72.5610;27.4390;69.5238;68.0000;100.0000;933.047220;107.500000;825.300000;0.247220;152.194208
300;105;4;0.000021;94.3333;57.3333;68.0233;31.9767;65.7143;64.0000;100.0000;913.643670;107.500000;805.900000;0.243670;154.994714
300;105;4;0.000020;94.3333;56.3333;79.2899;20.7101;77.1429;76.0000;100.0000;936.756460;107.500000;829.000000;0.256460;139.507229
300;105;4;0.000019;94.3333;55.3333;69.2771;30.7229;68.5714;67.0000;100.0000;950.644870;107.500000;842.900000;0.244870;153.447081
300;105;4;0.000019;94.3333;53.3333;72.5000;27.5000;68.5714;67.0000;100.0000;980.247160;107.500000;872.500000;0.247160;149.908970
300;105;4;0.000019;94.3333;53.6667;74.5342;25.4658;72.3810;71.0000;100.0000;1000.153320;107.500000;892.400000;0.253320;145.128130
300;105;4;0.000020;94.3333;55.6667;76.0479;23.9521;67.6190;66.0000;100.0000;961.145960;107.500000;853.400000;0.245960;144.840509
300;105;4;0.000019;94.3333;54.6667;68.9024;31.0976;69.5238;68.0000;100.0000;981.846700;107.500000;874.100000;0.246700;154.639164
300;105;4;0.000019;94.3333;55.3333;72.8916;27.1084;70.4762;69.0000;100.0000;945.449670;107.500000;837.700000;0.249670;149.580258
300;105;4;0.000019;94.3333;53.3333;71.2500;28.7500;70.4762;69.0000;100.0000;1015.647690;107.500000;907.900000;0.247690;152.840720
300;105;4;0.000020;94.3333;56.6667;69.4118;30.5882;69.5238;68.0000;100.0000;908.647150;107.500000;800.900000;0.247150;154.902725
300;105;4;0.000019;94.3333;55.3333;73.4940;26.5060;74.2857;73.0000;100.0000;953.853140;107.500000;846.100000;0.253140;148.190438
300;105;4;0.000018;94.3333;49.3333;76.3514;23.6486;67.6190;66.0000;100.0000;1082.043420;107.500000;974.300000;0.243420;143.617644
300;105;4;0.000019;94.3333;54.0000;70.9877;29.0123;72.3810;71.0000;100.0000;979.249830;107.500000;871.500000;0.249830;153.363772
300;105;4;0.000021;94.3333;56.6667;68.8235;31.1765;67.6190;66.0000;100.0000;920.445800;107.500000;812.700000;0.245800;154.475562
300;105;4;0.000021;94.3333;57.3333;71.5116;28.4884;68.5714;67.0000;100.0000;899.446140;107.500000;791.700000;0.246140;153.442903
300;105;4;0.000020;94.3333;56.6667;71.7647;28.2353;73.3333;72.0000;100.0000;932.452220;107.500000;824.700000;0.252220;149.669297
300;105;4;0.000019;94.3333;53.3333;75.6250;24.3750;73.3333;72.0000;100.0000;1001.651010;107.500000;893.900000;0.251010;146.288042
300;105;4;0.000022;94.3333;60.6667;66.4835;33.5165;67.6190;66.0000;100.0000;837.644460;107.500000;729.900000;0.244460;159.497155
300;105;4;0.000018;94.3333;53.3333;77.5000;22.5000;68.5714;67.0000;100.0000;990.048420;107.500000;882.300000;0.248420;141.858855
300;105;4;0.000020;94.3333;57.6667;73.9884;26.0116;74.2857;73.0000;100.0000;884.154720;107.500000;776.400000;0.254720;150.401106
300;105;4;0.000019;94.3333;56.0000;72.0238;27.9762;70.4762;69.0000;100.0000;918.648310;107.500000;810.900000;0.248310;152.020906
300;105;4;0.000020;94.3333;57.3333;68.6047;31.3953;69.5238;68.0000;100.0000;885.447350;107.500000;777.700000;0.247350;156.715194
300;105;4;0.000019;94.3333;53.0000;72.9560;27.0440;69.5238;68.0000;100.0000;987.347400;107.500000;879.600000;0.247400;148.964200
300;105;4;0.000019;94.3333;54.0000;72.8395;27.1605;69.5238;68.0000;100.0000;994.447720;107.500000;886.700000;0.247720;149.460409
300;105;4;0.000020;94.3333;56.3333;68.6391;31.3609;69.5238;68.0000;100.0000;940.146070;107.500000;832.400000;0.246070;153.067804
300;105;4;0.000021;94.3333;58.0000;72.9885;27.0115;73.3333;72.0000;100.0000;907.851890;107.500000;800.100000;0.251890;146.626742
300;105;4;0.000019;94.3333;50.0000;71.3333;28.6667;65.7143;64.0000;100.0000;1036.442640;107.500000;928.700000;0.242640;151.450965
300;105;4;0.000019;94.3333;52.3333;77.7070;22.2930;69.5238;68.0000;100.0000;1025.347590;107.500000;917.600000;0.247590;138.546169
300;105;4;0.000020;94.3333;55.6667;71.8563;28.1437;72.3810;71.0000;100.0000;938.950910;107.500000;831.200000;0.250910;151.397215
300;105;4;0.000019;94.3333;55.6667;69.4611;30.5389;66.6667;65.0000;100.0000;958.944890;107.500000;851.200000;0.244890;152.042712
300;105;4;0.000020;94.3333;56.3333;71.5976;28.4024;71.4286;70.0000;100.0000;942.348560;107.500000;834.600000;0.248560;151.126537
300;105;4;0.000019;94.3333;53.3333;71.2500;28.7500;70.4762;69.0000;100.0000;1003.848030;107.500000;896.100000;0.248030;154.081229
300;105;4;0.000020;94.3333;57.3333;73.2558;26.7442;71.4286;70.0000;100.0000;925.250910;107.500000;817.500000;0.250910;146.597548
300;105;4;0.000021;94.3333;56.3333;72.7811;27.2189;68.5714;67.0000;100.0000;937.345750;107.500000;829.600000;0.245750;151.349389
300;105;4;0.000027;94.3333;54.3333;69.3252;30.6748;68.5714;67.0000;100.0000;970.943880;107.500000;863.200000;0.243880;156.707792
300;105;4;0.000021;94.3333;58.0000;73.5632;26.4368;74.2857;73.0000;100.0000;902.251940;107.500000;794.500000;0.251940;147.563018
300;105;4;0.000020;94.3333;57.0000;74.2690;25.7310;74.2857;73.0000;100.0000;911.553440;107.500000;803.800000;0.253440;149.387581
300;105;4;0.000021;94.3333;57.3333;68.0233;31.9767;77.1429;76.0000;100.0000;905.055600;107.500000;797.300000;0.255600;158.474183
300;105;4;0.000019;94.3333;54.0000;75.3086;24.6914;74.2857;73.0000;100.0000;984.653590;107.500000;876.900000;0.253590;144.063335
300;105;4;0.000020;94.3333;57.6667;74.5665;25.4335;73.3333;72.0000;100.0000;916.351590;107.500000;808.600000;0.251590;147.350515
300;105;4;0.000020;94.3333;55.0000;73.3333;26.6667;69.5238;68.0000;100.0000;956.547170;107.500000;848.800000;0.247170;149.748706
