Devices;Servers;Tech;ExeTime;DCovered;DServed;DServedEC;DServedCC;SUsed;SUsedEC;SUsedCC;TotalCost;CostNCoverage;CostNService;CostS;Avg.RTime
500;105;4;0.000031;92.2000;42.6000;64.7887;35.2113;69.5238;68.0000;100.0000;2008.345860;256.300000;1751.800000;0.245860;160.864927
500;105;4;0.000032;92.2000;47.6000;65.1261;34.8739;81.9048;81.0000;100.0000;1857.662960;256.300000;1601.100000;0.262960;158.444460
500;105;4;0.000030;92.2000;44.8000;68.3036;31.6964;80.0000;79.0000;100.0000;1951.860580;256.300000;1695.300000;0.260580;152.855846
500;105;4;0.000030;92.2000;45.2000;66.8142;33.1858;77.1429;76.0000;100.0000;1930.257860;256.300000;1673.700000;0.257860;154.758673
500;105;4;0.000032;92.2000;48.2000;66.3900;33.6100;83.8095;83.0000;100.0000;1823.564660;256.300000;1567.000000;0.264660;157.000384
500;105;4;0.000033;92.2000;47.8000;65.2720;34.7280;80.9524;80.0000;100.0000;1826.763570;256.300000;1570.200000;0.263570;158.710096
500;105;4;0.000032;92.2000;46.8000;66.6667;33.3333;82.8571;82.0000;100.0000;1858.463510;256.300000;1601.900000;0.263510;158.333443
500;105;4;0.000031;92.2000;45.4000;67.4009;32.5991;79.0476;78.0000;100.0000;1921.359370;256.300000;1664.800000;0.259370;154.374415
500;105;4;0.000031;92.2000;46.6000;64.8069;35.1931;79.0476;78.0000;100.0000;1869.359540;256.300000;1612.800000;0.259540;160.982449
500;105;4;0.000031;92.2000;45.4000;66.9604;33.0396;79.0476;78.0000;100.0000;1921.758970;256.300000;1665.200000;0.258970;154.192980
500;105;4;0.000032;92.2000;47.0000;66.8085;33.1915;80.0000;79.0000;100.0000;1870.560150;256.300000;1614.000000;0.260150;154.080857
500;105;4;0.000033;92.2000;47.6000;70.5882;29.4118;84.7619;84.0000;100.0000;1852.465550;256.300000;1595.900000;0.265550;151.901300
500;105;4;0.000031;92.2000;45.0000;68.8889;31.1111;78.0952;77.0000;100.0000;1941.358460;256.300000;1684.800000;0.258460;152.917987
500;105;4;0.000031;92.2000;47.6000;66.8067;33.1933;84.7619;84.0000;100.0000;1839.667370;256.300000;1583.100000;0.267370;154.951743
500;105;4;0.000032;92.2000;47.8000;70.2929;29.7071;85.7143;85.0000;100.0000;1840.366840;256.300000;1583.800000;0.266840;149.576897
500;105;4;0.000032;92.2000;46.8000;69.2308;30.7692;85.7143;85.0000;100.0000;1878.666720;256.300000;1622.100000;0.266720;154.338462
500;105;4;0.000031;92.2000;45.6000;67.9825;32.0175;80.0000;79.0000;100.0000;1920.060660;256.300000;1663.500000;0.260660;155.412793
500;105;4;0.000033;92.2000;47.4000;64.5570;35.4430;79.0476;78.0000;100.0000;1856.558250;256.300000;1600.000000;0.258250;162.469636
500;105;4;0.000031;92.2000;46.2000;65.8009;34.1991;80.9524;80.0000;100.0000;1931.561720;256.300000;1675.000000;0.261720;154.800969
500;105;4;0.000031;92.2000;45.6000;66.6667;33.3333;76.1905;75.0000;100.0000;1931.854520;256.300000;1675.300000;0.254520;156.575307
500;105;4;0.000033;92.2000;47.2000;67.7966;32.2034;82.8571;82.0000;100.0000;1856.664990;256.300000;1600.100000;0.264990;155.162053
500;105;4;0.000031;92.2000;45.2000;67.6991;32.3009;78.0952;77.0000;100.0000;1949.058210;256.300000;1692.500000;0.258210;154.109408
500;105;4;0.000031;92.2000;45.8000;64.1921;35.8079;78.0952;77.0000;100.0000;1921.558670;256.300000;1665.000000;0.258670;158.547508
500;105;4;0.000031;92.2000;45.6000;66.2281;33.7719;83.8095;83.0000;100.0000;1904.864300;256.300000;1648.300000;0.264300;157.401083
500;105;4;0.000032;92.2000;45.8000;65.9389;34.0611;77.1429;76.0000;100.0000;1870.557170;256.300000;1614.000000;0.257170;159.164796
500;105;4;0.000030;92.2000;45.4000;70.0441;29.9559;84.7619;84.0000;100.0000;1919.566110;256.300000;1663.000000;0.266110;149.017924
500;105;4;0.000032;92.2000;47.2000;67.7966;32.2034;81.9048;81.0000;100.0000;1857.263490;256.300000;1600.700000;0.263490;153.758526
500;105;4;0.000032;92.2000;47.4000;66.2447;33.7553;78.0952;77.0000;100.0000;1873.758370;256.300000;1617.200000;0.258370;155.376858
500;105;4;0.000031;92.2000;45.6000;68.8596;31.1404;80.9524;80.0000;100.0000;1911.261750;256.300000;1654.700000;0.261750;155.530977
500;105;4;0.000032;92.2000;46.4000;69.3966;30.6034;80.0000;79.0000;100.0000;1887.861240;256.300000;1631.300000;0.261240;153.278844
500;105;4;0.000031;92.2000;44.6000;67.7130;32.2870;79.0476;78.0000;100.0000;1941.158900;256.300000;1684.600000;0.258900;152.663557
500;105;4;0.000032;92.2000;46.2000;64.0693;35.9307;79.0476;78.0000;100.0000;1914.558890;256.300000;1658.000000;0.258890;158.917132
500;105;4;0.000031;92.2000;44.4000;71.6216;28.3784;83.8095;83.0000;100.0000;1978.464800;256.300000;1721.900000;0.264800;143.723956
500;105;4;0.000031;92.2000;44.2000;67.8733;32.1267;77.1429;76.0000;100.0000;1966.757310;256.300000;1710.200000;0.257310;154.990479
500;105;4;0.000031;92.2000;44.8000;63.3929;36.6071;77.1429;76.0000;100.0000;1924.257080;256.300000;1667.700000;0.257080;161.614108
500;105;4;0.000032;92.2000;47.6000;67.6471;32.3529;82.8571;82.0000;100.0000;1851.263580;256.300000;1594.700000;0.263580;153.524716
500;105;4;0.000031;92.2000;45.8000;65.9389;34.0611;80.0000;79.0000;100.0000;1895.359900;256.300000;1638.800000;0.259900;156.320893
500;105;4;0.000030;92.2000;44.2000;70.5882;29.4118;85.7143;85.0000;100.0000;1950.766290;256.300000;1694.200000;0.266290;154.088669
500;105;4;0.000031;92.2000;45.6000;65.7895;34.2105;82.8571;82.0000;100.0000;1928.063470;256.300000;1671.500000;0.263470;157.198070
500;105;4;0.000032;92.2000;46.0000;63.9130;36.0870;77.1429;76.0000;100.0000;1884.857070;256.300000;1628.300000;0.257070;159.791654
500;105;4;0.000031;92.2000;44.4000;65.3153;34.6847;78.0952;77.0000;100.0000;1928.257810;256.300000;1671.700000;0.257810;157.730759
500;105;4;0.000031;92.2000;47.6000;65.9664;34.0336;81.9048;81.0000;100.0000;1823.862750;256.300000;1567.300000;0.262750;160.216042
500;105;4;0.000031;92.2000;46.2000;65.8009;34.1991;80.9524;80.0000;100.0000;1886.761040;256.300000;1630.200000;0.261040;159.318159
500;105;4;0.000031;92.2000;44.8000;62.0536;37.9464;77.1429;76.0000;100.0000;1941.256640;256.300000;1684.700000;0.256640;163.416155
500;105;4;0.000032;92.2000;46.4000;66.8103;33.1897;80.0000;79.0000;100.0000;1858.261100;256.300000;1601.700000;0.261100;158.160631
500;105;4;0.000033;92.2000;49.0000;65.7143;34.2857;81.9048;81.0000;100.0000;1801.162430;256.300000;1544.600000;0.262430;157.962498
500;105;4;0.000033;92.2000;46.8000;69.2308;30.7692;79.0476;78.0000;100.0000;1892.660610;256.300000;1636.100000;0.260610;151.044502
500;105;4;0.000030;92.2000;45.0000;68.0000;32.0000;81.9048;81.0000;100.0000;1934.762850;256.300000;1678.200000;0.262850;154.565328
500;105;4;0.000032;92.2000;47.6000;67.6471;32.3529;83.8095;83.0000;100.0000;1843.665340;256.300000;1587.100000;0.265340;154.331433
500;105;4;0.000032;92.2000;46.8000;65.8120;34.1880;77.1429;76.0000;100.0000;1871.457220;256.300000;1614.900000;0.257220;159.160826
500;105;4;0.000031;92.2000;45.2000;65.9292;34.0708;78.0952;77.0000;100.0000;1898.659320;256.300000;1642.100000;0.259320;156.858744
500;105;4;0.000032;92.2000;46.6000;63.9485;36.0515;77.1429;76.0000;100.0000;1901.357640;256.300000;1644.800000;0.257640;160.230307
500;105;4;0.000031;92.2000;44.8000;65.6250;34.3750;81.9048;81.0000;100.0000;1910.263450;256.300000;1653.700000;0.263450;160.803580
